Year,recycling_m,recovery_efficiency_scenario,li_recovery_efficiency
2010,Pyro,low,0.002
2011,Pyro,low,0.0022
2012,Pyro,low,0.0024
2013,Pyro,low,0.0026
2014,Pyro,low,0.0029
2015,Pyro,low,0.0031
2016,Pyro,low,0.0035
2017,Pyro,low,0.0038
2018,Pyro,low,0.0042
2019,Pyro,low,0.0046
2020,Pyro,low,0.005
2021,Pyro,low,0.0055
2022,Pyro,low,0.006
2023,Pyro,low,0.0065
2024,Pyro,low,0.0071
2025,Pyro,low,0.0077
2026,Pyro,low,0.0084
2027,Pyro,low,0.0091
2028,Pyro,low,0.0099
2029,Pyro,low,0.0107
2030,Pyro,low,0.0116
2031,Pyro,low,0.0125
2032,Pyro,low,0.0134
2033,Pyro,low,0.0145
2034,Pyro,low,0.0155
2035,Pyro,low,0.0166
2036,Pyro,low,0.0177
2037,Pyro,low,0.0189
2038,Pyro,low,0.0201
2039,Pyro,low,0.0213
2040,Pyro,low,0.0225
2041,Pyro,low,0.0238
2042,Pyro,low,0.025
2043,Pyro,low,0.0262
2044,Pyro,low,0.0275
2045,Pyro,low,0.0287
2046,Pyro,low,0.0299
2047,Pyro,low,0.0311
2048,Pyro,low,0.0323
2049,Pyro,low,0.0334
2050,Pyro,low,0.0345
2010,Pyro,baseline,0.0512
2011,Pyro,baseline,0.0514
2012,Pyro,baseline,0.0517
2013,Pyro,baseline,0.052
2014,Pyro,baseline,0.0523
2015,Pyro,baseline,0.0527
2016,Pyro,baseline,0.0532
2017,Pyro,baseline,0.0537
2018,Pyro,baseline,0.0543
2019,Pyro,baseline,0.055
2020,Pyro,baseline,0.0559
2021,Pyro,baseline,0.0568
2022,Pyro,baseline,0.058
2023,Pyro,baseline,0.0593
2024,Pyro,baseline,0.0608
2025,Pyro,baseline,0.0625
2026,Pyro,baseline,0.0644
2027,Pyro,baseline,0.0667
2028,Pyro,baseline,0.0692
2029,Pyro,baseline,0.072
2030,Pyro,baseline,0.0752
2031,Pyro,baseline,0.0787
2032,Pyro,baseline,0.0826
2033,Pyro,baseline,0.0869
2034,Pyro,baseline,0.0915
2035,Pyro,baseline,0.0965
2036,Pyro,baseline,0.1018
2037,Pyro,baseline,0.1073
2038,Pyro,baseline,0.1131
2039,Pyro,baseline,0.119
2040,Pyro,baseline,0.125
2041,Pyro,baseline,0.131
2042,Pyro,baseline,0.1369
2043,Pyro,baseline,0.1427
2044,Pyro,baseline,0.1482
2045,Pyro,baseline,0.1535
2046,Pyro,baseline,0.1585
2047,Pyro,baseline,0.1631
2048,Pyro,baseline,0.1674
2049,Pyro,baseline,0.1713
2050,Pyro,baseline,0.1748
2010,Pyro,high,0.1005
2011,Pyro,high,0.1007
2012,Pyro,high,0.1008
2013,Pyro,high,0.101
2014,Pyro,high,0.1013
2015,Pyro,high,0.1016
2016,Pyro,high,0.102
2017,Pyro,high,0.1024
2018,Pyro,high,0.103
2019,Pyro,high,0.1038
2020,Pyro,high,0.1047
2021,Pyro,high,0.1058
2022,Pyro,high,0.1072
2023,Pyro,high,0.1089
2024,Pyro,high,0.111
2025,Pyro,high,0.1135
2026,Pyro,high,0.1167
2027,Pyro,high,0.1204
2028,Pyro,high,0.1249
2029,Pyro,high,0.1303
2030,Pyro,high,0.1367
2031,Pyro,high,0.1441
2032,Pyro,high,0.1527
2033,Pyro,high,0.1624
2034,Pyro,high,0.1733
2035,Pyro,high,0.1852
2036,Pyro,high,0.1979
2037,Pyro,high,0.2113
2038,Pyro,high,0.225
2039,Pyro,high,0.2387
2040,Pyro,high,0.2521
2041,Pyro,high,0.2648
2042,Pyro,high,0.2767
2043,Pyro,high,0.2876
2044,Pyro,high,0.2973
2045,Pyro,high,0.3059
2046,Pyro,high,0.3133
2047,Pyro,high,0.3197
2048,Pyro,high,0.3251
