region,Sub-region Name,area,iso3,continent,Country Code
Aruba,Latin America and the Caribbean,other_america,ABW,America,ABW
Afghanistan,Southern Asia,other_asia,AFG,Asia,AFG
Angola,Sub-Saharan Africa,other_africa,AGO,Africa,AGO
Albania,Southern Europe,other_europe,ALB,Europe,ALB
Andorra,Southern Europe,other_europe,AND,Europe,AND
United Arab Emirates,Western Asia,other_asia,ARE,Asia,ARE
Argentina,Latin America and the Caribbean,other_america,ARG,America,ARG
Armenia,Western Asia,other_asia,ARM,Asia,ARM
Australia,Australia and New Zealand,Australia,AUS,Pacific,AUS
Austria,Western Europe,other_europe,AUT,Europe,AUT
Azerbaijan,Western Asia,other_asia,AZE,Asia,AZE
Burundi,Sub-Saharan Africa,other_africa,BDI,Africa,BDI
Belgium,Western Europe,other_europe,BEL,Europe,BEL
Benin,Sub-Saharan Africa,other_africa,BEN,Africa,BEN
Burkina Faso,Sub-Saharan Africa,other_africa,BFA,Africa,BFA
Bangladesh,Southern Asia,other_asia,BGD,Asia,BGD
Bulgaria,Eastern Europe,other_europe,BGR,Europe,BGR
Bahrain,Western Asia,other_asia,BHR,Asia,BHR
Bahamas,Latin America and the Caribbean,other_america,BHS,America,BHS
Bosnia Herzegovina,Southern Europe,other_europe,BIH,Europe,BIH
Belarus,Eastern Europe,other_europe,BLR,Europe,BLR
Bermuda,Northern America,other_america,BMU,America,BMU
Bolivia (Plurinational State of),Latin America and the Caribbean,other_america,BOL,America,BOL
Brazil,Latin America and the Caribbean,Brazil,BRA,America,BRA
Barbados,Latin America and the Caribbean,other_america,BRB,America,BRB
Brunei Darussalam,South-eastern Asia,other_asia,BRN,Asia,BRN
Botswana,Sub-Saharan Africa,other_africa,BWA,Africa,BWA
Canada,Northern America,Canada,CAN,America,CAN
Switzerland,Western Europe,other_europe,CHE,Europe,CHE
Chile,Latin America and the Caribbean,other_america,CHL,America,CHL
China,Eastern Asia,China,CHN,Asia,CHN
C?te d'Ivoire,Sub-Saharan Africa,other_africa,CIV,Africa,CIV
Cameroon,Sub-Saharan Africa,other_africa,CMR,Africa,CMR
Congo,Sub-Saharan Africa,other_africa,COG,Africa,COG
Colombia,Latin America and the Caribbean,other_america,COL,America,COL
Comoros,Sub-Saharan Africa,other_africa,COM,Africa,COM
Cabo Verde,Sub-Saharan Africa,other_africa,CPV,Africa,CPV
Costa Rica,Latin America and the Caribbean,other_america,CRI,America,CRI
Cayman Isds,Latin America and the Caribbean,other_america,CYM,America,CYM
Cyprus,Western Asia,other_europe,CYP,Europe,CYP
Czechia,Eastern Europe,Czechia,CZE,Europe,CZE
